id,state,priority,created_at,updated_at,started_at,started_move,finished_move,started_dispense,finished_dispense,collected_at,ticket_item_failed,ingredient_id,ticket_id,mass,actual_mass,item_cost,location,ticket_id_counts,move_no_in_sequence,priority_list,ingredient_list
3886f472-4770-4c8b-970e-922a236472a0,TICKETITEM_DONE,20,2021-09-27 09:22:55.629269,2021-09-27 11:02:27.862552,2021-09-27 10:58:00.084215+00:00,2021-09-27 10:58:00.084215,2021-09-27 10:58:12.291976,2021-09-27 10:58:12.291976,2021-09-27 10:58:55.826401,None,False,8bf1771c-a330-4410-a890-b7b7c7b621b3,d72665d4-7c9b-4747-94bd-a55583fc509e,110000,117273,0.0,nan,7,0,"20, 40, 100, 120, 130, 140, 150",nan
052d6eb4-faf4-440e-b703-6a98bf6f99f1,TICKETITEM_DONE,40,2021-09-27 09:22:55.634039,2021-09-27 11:02:27.863363,2021-09-27 10:58:57.131940+00:00,2021-09-27 10:58:57.131940,2021-09-27 10:59:08.717437,2021-09-27 10:59:08.717438,2021-09-27 10:59:39.916711,None,False,85e5083f-1736-4922-9bf7-1cf7da802d64,d72665d4-7c9b-4747-94bd-a55583fc509e,84000,84035,0.0,nan,7,1,"20, 40, 100, 120, 130, 140, 150",nan
089e162f-f4ee-4903-9c95-c8299c74db05,TICKETITEM_DONE,100,2021-09-27 09:22:55.635819,2021-09-27 11:02:27.864089,2021-09-27 10:59:42.844839+00:00,2021-09-27 10:59:42.844839,2021-09-27 10:59:52.747807,2021-09-27 10:59:52.747807,2021-09-27 11:00:01.407931,None,False,87941a51-fd64-4171-95b9-db76bd4465f0,d72665d4-7c9b-4747-94bd-a55583fc509e,40000,40889,0.0,nan,7,2,"20, 40, 100, 120, 130, 140, 150",nan
9e0cd9e2-d006-4104-9b6a-647da3f3f9a7,TICKETITEM_DONE,120,2021-09-27 09:22:55.637931,2021-09-27 11:02:27.864890,2021-09-27 11:00:10.028055+00:00,2021-09-27 11:00:10.028056,2021-09-27 11:00:19.765198,2021-09-27 11:00:19.765198,2021-09-27 11:00:28.571693,None,False,4c02a8a1-7b6d-43ef-b639-03f0b7b7a4b1,d72665d4-7c9b-4747-94bd-a55583fc509e,18000,21887,0.0,nan,7,3,"20, 40, 100, 120, 130, 140, 150",nan
66678299-55cf-4982-a0ea-61613795358b,TICKETITEM_DONE,130,2021-09-27 09:22:55.639783,2021-09-27 11:02:27.865631,2021-09-27 11:00:29.726715+00:00,2021-09-27 11:00:29.726715,2021-09-27 11:00:37.766834,2021-09-27 11:00:37.766834,2021-09-27 11:00:44.556128,None,False,e1d855b2-f0b5-45d8-a1f8-a10ba21eed20,d72665d4-7c9b-4747-94bd-a55583fc509e,2000,2583,0.0,nan,7,4,"20, 40, 100, 120, 130, 140, 150",nan
56a16f06-4820-40bf-8a56-21e6adf64605,TICKETITEM_DONE,140,2021-09-27 09:22:55.641815,2021-09-27 11:02:27.866353,2021-09-27 11:00:44.790743+00:00,2021-09-27 11:00:44.790743,2021-09-27 11:00:52.861439,2021-09-27 11:00:52.861439,2021-09-27 11:01:15.842456,None,False,d540dc34-5e97-4032-9c6b-ec8e0bf63864,d72665d4-7c9b-4747-94bd-a55583fc509e,60000,63982,0.0,nan,7,5,"20, 40, 100, 120, 130, 140, 150",nan
e0996c2a-1745-4dc7-a110-0fa8ee582d01,TICKETITEM_DONE,150,2021-09-27 09:22:55.643695,2021-09-27 11:02:27.867152,2021-09-27 11:01:16.236075+00:00,2021-09-27 11:01:16.236075,2021-09-27 11:01:26.268177,2021-09-27 11:01:26.268177,2021-09-27 11:02:02.082909,None,False,bfe9f09a-4bfd-4504-a024-8b7cad14407d,d72665d4-7c9b-4747-94bd-a55583fc509e,8000,9872,0.0,nan,7,6,"20, 40, 100, 120, 130, 140, 150",nan
86a3898c-8426-47e3-b6e7-e7119b506df9,TICKETITEM_DONE,10,2021-09-27 09:24:01.490989,2021-09-27 11:04:15.386417,2021-09-27 11:00:19.880287+00:00,2021-09-27 11:00:19.880287,2021-09-27 11:00:29.662941,2021-09-27 11:00:29.662941,2021-09-27 11:01:02.460734,None,False,dd565e5e-13a7-4379-9fc8-b9221fae01cf,02e12cd3-b8bb-48c6-bc41-0f1f81bea9ee,120000,121740,0.0,nan,7,0,"10, 50, 90, 100, 110, 130, 140",nan
09b4417d-5051-4948-a7c1-2b3ba782da04,TICKETITEM_DONE,50,2021-09-27 09:24:01.492664,2021-09-27 11:04:15.387811,2021-09-27 11:01:05.075441+00:00,2021-09-27 11:01:05.075441,2021-09-27 11:01:14.663793,2021-09-27 11:01:14.663793,2021-09-27 11:01:51.332887,None,False,ad97a5b1-2c4a-464a-8942-cecfddca6225,02e12cd3-b8bb-48c6-bc41-0f1f81bea9ee,84000,89925,0.0,nan,7,1,"10, 50, 90, 100, 110, 130, 140",nan
3bbc69dc-d6f3-4cc8-8e41-dafdd321a201,TICKETITEM_DONE,90,2021-09-27 09:24:01.494267,2021-09-27 11:04:15.389093,2021-09-27 11:01:51.561341+00:00,2021-09-27 11:01:51.561342,2021-09-27 11:02:02.038301,2021-09-27 11:02:02.038301,2021-09-27 11:02:26.150970,None,False,2d7f72ae-7a99-4538-b178-eb280b16ec25,02e12cd3-b8bb-48c6-bc41-0f1f81bea9ee,50000,66202,0.0,nan,7,2,"10, 50, 90, 100, 110, 130, 140",nan
c24433b8-8f58-40bb-81a4-0177dfe1c8b2,TICKETITEM_DONE,100,2021-09-27 09:24:01.495650,2021-09-27 11:04:15.390929,2021-09-27 11:02:26.444311+00:00,2021-09-27 11:02:26.444311,2021-09-27 11:02:34.606477,2021-09-27 11:02:34.606477,2021-09-27 11:02:44.410440,None,False,87941a51-fd64-4171-95b9-db76bd4465f0,02e12cd3-b8bb-48c6-bc41-0f1f81bea9ee,40000,50196,0.0,nan,7,3,"10, 50, 90, 100, 110, 130, 140",nan
fa086369-ba8d-4f6a-8a97-4e795a255d05,TICKETITEM_DONE,110,2021-09-27 09:24:01.497192,2021-09-27 11:04:15.391968,2021-09-27 11:02:44.619073+00:00,2021-09-27 11:02:44.619073,2021-09-27 11:02:52.604989,2021-09-27 11:02:52.604989,2021-09-27 11:03:03.300788,None,False,3182fea5-7eca-4d34-96e1-77abec8fc795,02e12cd3-b8bb-48c6-bc41-0f1f81bea9ee,10000,10755,0.0,nan,7,4,"10, 50, 90, 100, 110, 130, 140",nan
c1363a11-df8e-496d-80da-9b357f2a4596,TICKETITEM_DONE,130,2021-09-27 09:24:01.498643,2021-09-27 11:04:15.392604,2021-09-27 11:03:06.731081+00:00,2021-09-27 11:03:06.731082,2021-09-27 11:03:15.288377,2021-09-27 11:03:15.288377,2021-09-27 11:03:22.229237,None,False,e1d855b2-f0b5-45d8-a1f8-a10ba21eed20,02e12cd3-b8bb-48c6-bc41-0f1f81bea9ee,2000,2671,0.0,nan,7,5,"10, 50, 90, 100, 110, 130, 140",nan
